"REF","LIS_TEST_LABEL","INSTRUMENT_TEST_CODE","DESCRIP","M_REF","DAY_PRIORITY","NIGHT_PRIORITY","HOLIDAY_PRIORITY","CALCULATED","ON_HOLD","GRP_REF","REF_1","LK_USER_REF","CODE","NAME","CONNECTED","DRIVER_CLASS_NAME","PROPERTIES_FILE_PATH","MODE_O","WAIT_FOR_RESULT_CONFIRMATION","ON_HOLD_1","DLY_DB_SAMPLES_2SEND","DLY_SAMPLE_DISP_REFRESH","DLY_FOR_RESERVE_RETRY","DLY_FOR_RETRY_LATER","DLY_FOR_TIME_OUT","COM_PORT","COM_BAUDE_RATE","COM_PARITY","COM_DATA_BITS","COM_STOP_BIT","IS_EMUL","RELATED_INSTR","PORT","M_REF_1"
2173,"104","813","FT3",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2174,"101","302","FT4",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2175,"111","137","Anti-TPO",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2192,"117","624","Vanco",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2212,"115","705","Cyclosporine",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2232,"112","112","F/T RATIO",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2233,"109","751","Free PSA",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2252,"36","225","HIV Ag_Ab",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2253,"44","515","HBs Ag",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
2254,"33","503","HCV",143,9,9,9,0,0,0,143,0,"INFINITY","INFINITY",1,"b01.l3.drivers.roches.cobas.infinity.CobasInfinityDriver","",1,0,0,10000,10000,2000,2000,30000,"6600",9600,0,8,1,0,"",8846,1
